,A,B,max_Delay
348,5,53,216
349,5,54,169
350,5,55,336
351,5,56,342
352,5,57,237
353,5,58,177
354,5,59,184
355,5,60,244
356,5,61,372
357,5,62,378
358,5,63,192
359,5,64,260
360,5,65,198
361,5,66,268
362,5,67,553
363,5,68,483
364,5,69,214
365,5,70,284
366,5,71,288
367,5,72,219
368,5,73,814
369,5,74,837
370,5,75,232
371,5,76,308
372,5,77,312
373,5,78,237
374,5,79,568
375,5,80,648
376,5,81,333
377,5,82,253
378,5,83,336
379,5,84,259
380,5,85,516
381,5,86,522
382,5,87,357
383,5,88,267
384,5,89,274
385,5,90,364
386,5,91,552
387,5,92,558
388,5,93,282
389,5,94,380
390,5,95,288
391,5,96,388
392,5,97,793
393,5,98,693
394,5,99,304
395,5,100,404
396,6,2,1
397,6,3,9
398,6,4,28
399,6,5,28
400,6,6,28
401,6,7,48
402,6,8,54
403,6,9,45
404,6,10,44
405,6,11,72
406,6,12,65
407,6,13,61
408,6,14,60
409,6,15,96
410,6,16,102
411,6,17,108
412,6,18,114
413,6,19,100
414,6,20,111
415,6,21,132
416,6,22,138
417,6,23,144
418,6,24,150
419,6,25,109
420,6,26,108
421,6,27,146
422,6,28,174
423,6,29,125
424,6,30,124
425,6,31,192
426,6,32,198
427,6,33,141
428,6,34,140
429,6,35,216
430,6,36,222
431,6,37,196
432,6,38,156
433,6,39,165
434,6,40,164
435,6,41,173
436,6,42,172
437,6,43,181
438,6,44,225
439,6,45,276
440,6,46,282
441,6,47,197
442,6,48,196
443,6,49,300
444,6,50,306
445,6,51,213
446,6,52,212
447,6,53,324
448,6,54,275
449,6,55,229
450,6,56,228
451,6,57,348
452,6,58,354
453,6,59,360
454,6,60,366
455,6,61,310
456,6,62,321
457,6,63,384
458,6,64,390
459,6,65,396
460,6,66,402
461,6,67,277
462,6,68,276
463,6,69,356
464,6,70,426
465,6,71,293
466,6,72,292
467,6,73,444
468,6,74,450
469,6,75,309
470,6,76,308
471,6,77,468
472,6,78,474
473,6,79,406
474,6,80,324
475,6,81,333
476,6,82,332
477,6,83,341
478,6,84,340
479,6,85,349
480,6,86,435
481,6,87,528
482,6,88,534
483,6,89,365
484,6,90,364
485,6,91,552
486,6,92,558
487,6,93,381
488,6,94,380
489,6,95,576
490,6,96,485
491,6,97,397
492,6,98,396
493,6,99,600
494,6,100,606
495,7,2,1
496,7,3,16
497,7,4,19
498,7,5,57
499,7,6,48
500,7,7,40
501,7,8,54
502,7,9,67
503,7,10,61
504,7,11,66
505,7,12,78
506,7,13,46
507,7,14,90
508,7,15,96
509,7,16,85
510,7,17,115
511,7,18,114
512,7,19,106
513,7,20,111
514,7,21,110
515,7,22,138
516,7,23,144
517,7,24,125
518,7,25,163
519,7,26,162
520,7,27,175
521,7,28,174
522,7,29,156
523,7,30,186
524,7,31,192
525,7,32,171
526,7,33,170
527,7,34,175
528,7,35,223
529,7,36,222
530,7,37,196
531,7,38,234
532,7,39,240
533,7,40,127
534,7,41,259
535,7,42,215
536,7,43,226
537,7,44,270
538,7,45,283
539,7,46,241
540,7,47,288
541,7,48,294
542,7,49,307
543,7,50,255
544,7,51,312
545,7,52,318
546,7,53,331
547,7,54,275
548,7,55,286
549,7,56,342
550,7,57,355
551,7,58,354
552,7,59,306
553,7,60,366
554,7,61,379
555,7,62,378
556,7,63,320
557,7,64,390
558,7,65,403
559,7,66,341
560,7,67,346
561,7,68,414
562,7,69,214
563,7,70,426
564,7,71,432
565,7,72,365
566,7,73,451
567,7,74,450
568,7,75,386
569,7,76,391
570,7,77,390
571,7,78,474
572,7,79,480
573,7,80,405
574,7,81,499
575,7,82,498
576,7,83,511
577,7,84,510
578,7,85,436
579,7,86,522
580,7,87,528
581,7,88,451
582,7,89,450
583,7,90,455
584,7,91,559
585,7,92,558
586,7,93,476
587,7,94,570
588,7,95,576
589,7,96,295
590,7,97,595
591,7,98,495
592,7,99,506
593,7,100,606
594,8,2,1
595,8,3,9
596,8,4,18
597,8,5,63
598,8,6,54
599,8,7,54
600,8,8,54
601,8,9,80
602,8,10,77
603,8,11,92
604,8,12,104
605,8,13,98
606,8,14,113
607,8,15,103
608,8,16,102
609,8,17,115
610,8,18,114
611,8,19,140
612,8,20,155
613,8,21,176
614,8,22,161
615,8,23,176
616,8,24,200
617,8,25,163
618,8,26,162
619,8,27,224
620,8,28,203
621,8,29,218
622,8,30,248
623,8,31,224
624,8,32,205
625,8,33,211
626,8,34,210
627,8,35,223
628,8,36,222
629,8,37,235
630,8,38,281
631,8,39,320
632,8,40,287
633,8,41,302
634,8,42,344
635,8,43,271
636,8,44,270
637,8,45,368
638,8,46,329
639,8,47,344
640,8,48,392
641,8,49,350
642,8,50,365
643,8,51,319
644,8,52,318
645,8,53,331
646,8,54,330
647,8,55,392
648,8,56,407
649,8,57,464
650,8,58,413
651,8,59,428
652,8,60,488
653,8,61,379
654,8,62,378
655,8,63,512
656,8,64,455
657,8,65,470
658,8,66,536
659,8,67,476
660,8,68,421
661,8,69,427
662,8,70,426
663,8,71,439
664,8,72,438
665,8,73,451
666,8,74,533
667,8,75,608
668,8,76,539
669,8,77,554
670,8,78,632
671,8,79,487
672,8,80,486
673,8,81,656
674,8,82,581
675,8,83,596
676,8,84,680
677,8,85,602
678,8,86,617
679,8,87,535
680,8,88,534
681,8,89,547
682,8,90,546
683,8,91,644
684,8,92,659
685,8,93,752
686,8,94,665
687,8,95,680
688,8,96,776
689,8,97,595
690,8,98,594
691,8,99,800
692,8,100,707
693,9,2,1
694,9,3,23
695,9,4,23
696,9,5,34
697,9,6,45
698,9,7,67
699,9,8,80
700,9,9,70
701,9,10,88
702,9,11,105
703,9,12,99
704,9,13,154
705,9,14,209
706,9,15,137
707,9,16,136
708,9,17,153
709,9,18,141
710,9,19,160
711,9,20,147
712,9,21,185
713,9,22,184
714,9,23,301
715,9,24,209
716,9,25,217
717,9,26,189
718,9,27,233
719,9,28,203
720,9,29,218
721,9,30,193
722,9,31,265
723,9,32,264
724,9,33,561
725,9,34,525
726,9,35,223
727,9,36,222
728,9,37,235
729,9,38,312
730,9,39,280
731,9,40,328
732,9,41,345
733,9,42,344
734,9,43,836
735,9,44,875
736,9,45,377
737,9,46,376
738,9,47,393
739,9,48,351
740,9,49,400
741,9,50,313
742,9,51,319
743,9,52,318
744,9,53,826
745,9,54,880
746,9,55,457
747,9,56,456
748,9,57,355
749,9,58,413
750,9,59,428
751,9,60,488
752,9,61,442
753,9,62,504
754,9,63,521
755,9,64,780
756,9,65,537
757,9,66,536
758,9,67,484
759,9,68,552
760,9,69,490
761,9,70,568
762,9,71,585
763,9,72,584
764,9,73,962
765,9,74,837
766,9,75,532
767,9,76,616
768,9,77,633
769,9,78,561
770,9,79,640
771,9,80,486
772,9,81,499
773,9,82,589
774,9,83,840
775,9,84,850
776,9,85,697
777,9,86,696
778,9,87,713
779,9,88,623
780,9,89,638
781,9,90,728
782,9,91,745
783,9,92,744
784,9,93,940
785,9,94,950
786,9,95,672
787,9,96,582
788,9,97,595
789,9,98,792
790,9,99,700
791,9,100,808
792,10,2,1
793,10,3,11
794,10,4,22
795,10,5,44
796,10,6,44
797,10,7,61
798,10,8,77
799,10,9,88
800,10,10,88
801,10,11,120
802,10,12,130
803,10,13,140
804,10,14,150
805,10,15,137
806,10,16,136
807,10,17,180
808,10,18,190
809,10,19,169
810,10,20,168
811,10,21,185
812,10,22,184
813,10,23,240
814,10,24,250
815,10,25,217
816,10,26,216
817,10,27,280
818,10,28,290
819,10,29,300
820,10,30,310
821,10,31,265
822,10,32,264
823,10,33,340
824,10,34,350
825,10,35,360
826,10,36,370
827,10,37,313
828,10,38,312
829,10,39,400
830,10,40,410
831,10,41,420
832,10,42,387
833,10,43,361
834,10,44,360
835,10,45,460
836,10,46,470
837,10,47,480
838,10,48,490
839,10,49,500
840,10,50,510
841,10,51,520
842,10,52,530
843,10,53,486
844,10,54,505
845,10,55,560
846,10,56,570
847,10,57,580
848,10,58,590
849,10,59,600
850,10,60,610
851,10,61,620
852,10,62,630
853,10,63,521
854,10,64,520
855,10,65,604
856,10,66,670
857,10,67,680
858,10,68,690
859,10,69,569
860,10,70,568
861,10,71,720
862,10,72,730
863,10,73,740
864,10,74,750
865,10,75,617
866,10,76,616
867,10,77,780
868,10,78,790
869,10,79,800
870,10,80,810
871,10,81,665
872,10,82,664
873,10,83,840
874,10,84,850
875,10,85,697
876,10,86,696
877,10,87,713
878,10,88,712
879,10,89,900
880,10,90,910
881,10,91,745
882,10,92,744
883,10,93,940
884,10,94,950
885,10,95,960
886,10,96,970
887,10,97,793
888,10,98,792
889,10,99,1000
890,10,100,1010
891,11,2,1
892,11,3,14
893,11,4,48
894,11,5,48
895,11,6,72
896,11,7,66
897,11,8,92
898,11,9,105
899,11,10,120
900,11,11,108
901,11,12,130
902,11,13,183
903,11,14,195
904,11,15,171
905,11,16,170
906,11,17,172
907,11,18,190
908,11,19,295
909,11,20,315
910,11,21,162
911,11,22,230
912,11,23,240
913,11,24,225
914,11,25,514
915,11,26,421
916,11,27,291
917,11,28,290
918,11,29,300
919,11,30,310
920,11,31,352
921,11,32,987
922,11,33,316
923,11,34,350
924,11,35,360
925,11,36,305
926,11,37,532
927,11,38,921
928,11,39,411
929,11,40,379
930,11,41,431
931,11,42,430
932,11,43,1216
933,11,44,945
934,11,45,471
935,11,46,470
936,11,47,480
937,11,48,451
938,11,49,850
939,11,50,1020
940,11,51,531
941,11,52,530
942,11,53,496
943,11,54,495
944,11,55,896
945,11,56,1938
946,11,57,591
947,11,58,590
948,11,59,600
949,11,60,610
950,11,61,868
951,11,62,1008
952,11,63,651
953,11,64,650
954,11,65,671
955,11,66,670
956,11,67,1105
957,11,68,966
958,11,69,711
959,11,70,710
960,11,71,720
961,11,72,730
962,11,73,2551
963,11,74,1217
964,11,75,694
965,11,76,693
966,11,77,791
967,11,78,790
968,11,79,1621
969,11,80,1395
970,11,81,738
971,11,82,830
972,11,83,840
973,11,84,850
974,11,85,1828
975,11,86,2349
976,11,87,891
977,11,88,890
978,11,89,820
979,11,90,910
980,11,91,2140
981,11,92,1317
982,11,93,761
983,11,94,950
984,11,95,960
985,11,96,873
986,11,97,2842
987,11,98,1101
988,11,99,1011
989,11,100,1010
990,12,2,1
991,12,3,26
992,12,4,52
993,12,5,39
994,12,6,65
995,12,7,78
996,12,8,104
997,12,9,99
998,12,10,130
999,12,11,130
1000,12,12,130
1001,12,13,168
1002,12,14,180
1003,12,15,192
1004,12,16,204
1005,12,17,216
1006,12,18,228
1007,12,19,240
1008,12,20,252
1009,12,21,264
1010,12,22,276
1011,12,23,288
1012,12,24,275
1013,12,25,271
1014,12,26,270
1015,12,27,336
1016,12,28,348
1017,12,29,360
1018,12,30,372
1019,12,31,384
1020,12,32,396
1021,12,33,408
1022,12,34,420
1023,12,35,432
1024,12,36,444
1025,12,37,418
1026,12,38,441
