,A,B,max_Delay
347,5,52,946
348,5,53,857
349,5,54,540
350,5,55,440
351,5,56,560
352,5,57,1036
353,5,58,703
354,5,59,834
355,5,60,480
356,5,61,985
357,5,62,2108
358,5,63,763
359,5,64,904
360,5,65,520
361,5,66,1065
362,5,67,938
363,5,68,1097
364,5,69,835
365,5,70,560
366,5,71,710
367,5,72,1306
368,5,73,736
369,5,74,895
370,5,75,1058
371,5,76,1225
372,5,77,1396
373,5,78,1257
374,5,79,790
375,5,80,640
376,5,81,810
377,5,82,1486
378,5,83,1003
379,5,84,1184
380,5,85,680
381,5,86,1385
382,5,87,2958
383,5,88,1063
384,5,89,1254
385,5,90,720
386,5,91,1465
387,5,92,1288
388,5,93,1497
389,5,94,1135
390,5,95,760
391,5,96,960
392,5,97,1756
393,5,98,986
394,5,99,1195
395,5,100,1408
396,6,2,12
397,6,3,24
398,6,4,66
399,6,5,60
400,6,6,60
401,6,7,129
402,6,8,197
403,6,9,239
404,6,10,222
405,6,11,220
406,6,12,226
407,6,13,677
408,6,14,224
409,6,15,270
410,6,16,1025
411,6,17,351
412,6,18,371
413,6,19,722
414,6,20,329
415,6,21,294
416,6,22,660
417,6,23,424
418,6,24,491
419,6,25,511
420,6,26,531
421,6,27,551
422,6,28,799
423,6,29,591
424,6,30,300
425,6,31,930
426,6,32,521
427,6,33,594
428,6,34,816
429,6,35,569
430,6,36,658
431,6,37,888
432,6,38,617
433,6,39,712
434,6,40,6401
435,6,41,831
436,6,42,420
437,6,43,697
438,6,44,713
439,6,45,820
440,6,46,1472
441,6,47,940
442,6,48,874
443,6,49,3136
444,6,50,800
445,6,51,918
446,6,52,2206
447,6,53,1071
448,6,54,1091
449,6,55,2090
450,6,56,905
451,6,57,798
452,6,58,1740
453,6,59,1072
454,6,60,1211
455,6,61,1231
456,6,62,1251
457,6,63,1271
458,6,64,1807
459,6,65,1311
460,6,66,660
461,6,67,2010
462,6,68,1097
463,6,69,1242
464,6,70,1680
465,6,71,1145
466,6,72,1306
467,6,73,1752
468,6,74,1193
469,6,75,1360
470,6,76,23105
471,6,77,1551
472,6,78,780
473,6,79,1273
474,6,80,1289
475,6,81,1468
476,6,82,2624
477,6,83,1660
478,6,84,1522
479,6,85,5440
480,6,86,1376
481,6,87,1566
482,6,88,3718
483,6,89,1791
484,6,90,1811
485,6,91,3458
486,6,92,1481
487,6,93,1302
488,6,94,2820
489,6,95,1720
490,6,96,1931
491,6,97,1951
492,6,98,1971
493,6,99,1991
494,6,100,2815
495,7,2,14
496,7,3,31
497,7,4,76
498,7,5,197
499,7,6,129
500,7,7,84
501,7,8,208
502,7,9,201
503,7,10,360
504,7,11,185
505,7,12,276
506,7,13,260
507,7,14,168
508,7,15,373
509,7,16,397
510,7,17,456
511,7,18,334
512,7,19,469
513,7,20,370
514,7,21,252
515,7,22,541
516,7,23,414
517,7,24,816
518,7,25,613
519,7,26,624
520,7,27,551
521,7,28,336
522,7,29,522
523,7,30,611
524,7,31,820
525,7,32,781
526,7,33,805
527,7,34,760
528,7,35,420
529,7,36,731
530,7,37,751
531,7,38,836
532,7,39,949
533,7,40,973
534,7,41,997
535,7,42,504
536,7,43,1045
537,7,44,1069
538,7,45,1184
539,7,46,1117
540,7,47,1128
541,7,48,971
542,7,49,1090
543,7,50,1213
544,7,51,1237
545,7,52,1261
546,7,53,1060
547,7,54,1200
548,7,55,1222
549,7,56,672
550,7,57,1381
551,7,58,1405
552,7,59,1548
553,7,60,969
554,7,61,1354
555,7,62,1240
556,7,63,756
557,7,64,1549
558,7,65,1573
559,7,66,1730
560,7,67,1216
561,7,68,1645
562,7,69,1252
563,7,70,840
564,7,71,1717
565,7,72,1296
566,7,73,2482
567,7,74,1789
568,7,75,1800
569,7,76,1531
570,7,77,924
571,7,78,1404
572,7,79,1591
573,7,80,2094
574,7,81,1957
575,7,82,1981
576,7,83,1838
577,7,84,1008
578,7,85,1711
579,7,86,1731
580,7,87,1914
581,7,88,2125
582,7,89,2149
583,7,90,2173
584,7,91,1092
585,7,92,2221
586,7,93,2245
587,7,94,2458
588,7,95,2293
589,7,96,2304
590,7,97,1951
591,7,98,2168
592,7,99,2389
593,7,100,2413
594,8,2,18
595,8,3,35
596,8,4,86
597,8,5,103
598,8,6,197
599,8,7,208
600,8,8,112
601,8,9,315
602,8,10,306
603,8,11,396
604,8,12,360
605,8,13,366
606,8,14,567
607,8,15,404
608,8,16,430
609,8,17,491
610,8,18,519
611,8,19,532
612,8,20,534
613,8,21,588
614,8,22,528
615,8,23,659
616,8,24,336
617,8,25,715
618,8,26,690
619,8,27,771
620,8,28,742
621,8,29,709
622,8,30,855
623,8,31,757
624,8,32,846
625,8,33,805
626,8,34,967
627,8,35,995
628,8,36,720
629,8,37,962
630,8,38,1064
631,8,39,1107
632,8,40,560
633,8,41,831
634,8,42,1191
635,8,43,1219
636,8,44,1232
637,8,45,1275
638,8,46,1196
639,8,47,1236
640,8,48,1262
641,8,49,1387
642,8,50,1415
643,8,51,1443
644,8,52,1456
645,8,53,1178
646,8,54,1527
647,8,55,1555
648,8,56,784
649,8,57,1611
650,8,58,1639
651,8,59,1667
652,8,60,1560
653,8,61,1231
654,8,62,1501
655,8,63,1525
656,8,64,1678
657,8,65,1835
658,8,66,1464
659,8,67,1621
660,8,68,1782
661,8,69,1947
662,8,70,1975
663,8,71,1846
664,8,72,1008
665,8,73,1471
666,8,74,2087
667,8,75,1813
668,8,76,1990
669,8,77,2171
670,8,78,2199
671,8,79,2068
672,8,80,2094
673,8,81,2283
674,8,82,2311
675,8,83,2324
676,8,84,2198
677,8,85,2380
678,8,86,2064
679,8,87,2451
680,8,88,1232
681,8,89,2507
682,8,90,2354
683,8,91,2563
684,8,92,2406
685,8,93,2245
686,8,94,2647
687,8,95,2293
688,8,96,2510
689,8,97,2341
690,8,98,2759
691,8,99,2787
692,8,100,2000
693,9,2,18
694,9,3,58
695,9,4,115
696,9,5,134
697,9,6,239
698,9,7,201
699,9,8,315
700,9,9,144
701,9,10,485
702,9,11,286
703,9,12,528
704,9,13,832
705,9,14,349
706,9,15,540
707,9,16,579
708,9,17,561
709,9,18,288
710,9,19,996
711,9,20,657
712,9,21,689
713,9,22,766
714,9,23,612
715,9,24,785
716,9,25,900
717,9,26,676
