,A,B,max_Delay
0,12,13,239
1,12,14,437
2,12,15,707
3,12,16,187
4,12,17,1463
5,12,18,209
6,12,19,1123
7,12,20,863
8,12,21,551
9,12,22,253
10,12,23,5819
11,12,24,275
12,12,25,755
13,12,26,1433
14,12,27,2243
15,12,28,319
16,12,29,4235
17,12,30,341
18,12,31,2947
19,12,32,2147
20,12,33,1259
21,12,34,385
22,12,35,13475
23,12,36,407
24,12,37,1559
25,12,38,3005
26,12,39,4643
27,12,40,451
28,12,41,8447
29,12,42,473
30,12,43,5635
31,12,44,4007
32,12,45,2255
33,12,46,517
34,12,47,24299
35,12,48,539
36,12,49,2651
37,12,50,5153
38,12,51,7907
39,12,52,583
40,12,53,14099
41,12,54,605
42,12,55,9187
43,12,56,6443
44,12,57,3539
45,12,58,649
46,12,59,38291
47,12,60,671
48,12,61,4031
49,12,62,7877
50,12,63,12035
51,12,64,715
52,12,65,21191
53,12,66,737
54,12,67,13603
55,12,68,9455
56,12,69,5111
57,12,70,781
58,12,71,55451
59,12,72,803
60,12,73,5699
61,12,74,11177
62,12,75,17027
63,12,76,847
64,12,77,29723
65,12,78,869
66,12,79,18883
67,12,80,13043
68,12,81,6971
69,12,82,913
70,12,83,75779
71,12,84,935
72,12,85,7655
73,12,86,15053
74,12,87,22883
75,12,88,979
76,12,89,39695
77,12,90,1001
78,12,91,25027
79,12,92,17207
80,12,93,9119
81,12,94,1045
82,12,95,99275
83,12,96,1067
84,12,97,9899
85,12,98,19505
86,12,99,29603
87,12,100,1111
88,13,2,26
89,13,3,78
90,13,4,78
91,13,5,130
92,13,6,130
93,13,7,143
94,13,8,143
95,13,9,312
96,13,10,364
97,13,11,169
98,13,12,1716
99,13,13,168
100,13,14,180
101,13,15,192
102,13,16,204
103,13,17,216
104,13,18,228
105,13,19,240
106,13,20,252
107,13,21,264
108,13,22,276
109,13,23,288
110,13,24,300
111,13,25,7500
112,13,26,324
113,13,27,336
114,13,28,348
115,13,29,360
116,13,30,372
117,13,31,384
118,13,32,396
119,13,33,408
120,13,34,420
121,13,35,432
122,13,36,444
123,13,37,456
124,13,38,17328
125,13,39,480
126,13,40,492
127,13,41,504
128,13,42,516
