,A,B,max_Delay
0,82,83,10249
1,82,84,6885
2,82,85,10665
3,82,86,7047
4,82,87,11089
5,82,88,7209
6,82,89,11521
7,82,90,7371
8,82,91,11961
9,82,92,7533
10,82,93,12409
11,82,94,7695
12,82,95,12865
13,82,96,7857
14,82,97,13329
15,82,98,8019
16,82,99,13801
17,82,100,8181
18,83,2,166
19,83,3,332
20,83,4,498
21,83,5,498
22,83,6,1162
23,83,7,996
24,83,8,996
25,83,9,3320
26,83,10,1328
27,83,11,2324
28,83,12,3320
29,83,13,1494
30,83,14,7138
31,83,15,4482
32,83,16,1743
33,83,17,2988
34,83,18,2490
35,83,19,2324
36,83,20,2822
37,83,21,3071
38,83,22,10956
39,83,23,2490
40,83,24,2822
41,83,25,7470
42,83,26,3486
43,83,27,4150
44,83,28,7553
45,83,29,3071
46,83,30,3486
47,83,31,9462
48,83,32,3154
49,83,33,3320
50,83,34,3735
51,83,35,4565
52,83,36,7470
53,83,37,7636
54,83,38,5810
55,83,39,5561
56,83,40,3569
57,83,41,6640
58,83,42,8134
59,83,43,4980
60,83,44,6806
61,83,45,4980
62,83,46,9462
63,83,47,6640
64,83,48,7221
65,83,49,7470
66,83,50,5478
67,83,51,7304
68,83,52,11952
69,83,53,9047
70,83,54,4814
71,83,55,11288
72,83,56,6474
73,83,57,5893
74,83,58,15438
75,83,59,14442
76,83,60,9130
77,83,61,5561
78,83,62,18758
79,83,63,9711
80,83,64,36520
81,83,65,11205
82,83,66,8964
83,83,67,13861
84,83,68,6474
85,83,69,10209
86,83,70,6806
87,83,71,40172
88,83,72,9628
89,83,73,11537
90,83,74,13944
91,83,75,8051
92,83,76,8466
93,83,77,14193
94,83,78,9794
95,83,79,11039
96,83,80,13446
97,83,81,6889
98,83,82,551286
99,83,83,6888
100,83,84,6970
101,83,85,7052
102,83,86,7134
103,83,87,7216
104,83,88,7298
105,83,89,7380
106,83,90,7462
107,83,91,7544
108,83,92,7626
109,83,93,7708
110,83,94,7790
111,83,95,7872
112,83,96,7954
113,83,97,8036
114,83,98,8118
115,83,99,8200
116,83,100,8282
117,84,2,inf
118,84,3,168
119,84,4,252
120,84,5,504
121,84,6,inf
122,84,7,504
123,84,8,840
124,84,9,756
125,84,10,1260
126,84,11,1344
127,84,12,924
128,84,13,2184
129,84,14,inf
130,84,15,1764
131,84,16,2016
132,84,17,1596
133,84,18,2184
134,84,19,3024
135,84,20,7980
136,84,21,1680
137,84,22,2520
138,84,23,5880
139,84,24,2520
140,84,25,2520
141,84,26,3864
142,84,27,19656
143,84,28,2268
144,84,29,4872
145,84,30,4788
146,84,31,3696
147,84,32,2856
148,84,33,3864
149,84,34,7308
150,84,35,13608
151,84,36,3360
152,84,37,5544
153,84,38,4872
154,84,39,5880
155,84,40,17640
156,84,41,68880
157,84,42,inf
158,84,43,7224
159,84,44,5544
160,84,45,5208
161,84,46,7392
162,84,47,24696
163,84,48,14280
164,84,49,4368
165,84,50,6804
166,84,51,9072
167,84,52,6384
168,84,53,15204
169,84,54,9324
170,84,55,81816
171,84,56,7728
172,84,57,5544
173,84,58,11424
174,84,59,38808
175,84,60,6384
176,84,61,6552
177,84,62,77112
178,84,63,13104
179,84,64,9408
180,84,65,22428
181,84,66,6216
182,84,67,15288
183,84,68,12684
184,84,69,62160
185,84,70,7728
186,84,71,55944
187,84,72,9408
188,84,73,10500
189,84,74,13944
190,84,75,18312
191,84,76,36036
192,84,77,30576
