,A,B,max_Delay
0,62,63,5889
1,62,64,3965
2,62,65,6205
3,62,66,4087
4,62,67,6529
5,62,68,4209
6,62,69,6861
7,62,70,4331
8,62,71,7201
9,62,72,4453
10,62,73,7549
11,62,74,4575
12,62,75,7905
13,62,76,4697
14,62,77,8269
15,62,78,4819
16,62,79,8641
17,62,80,4941
18,62,81,9021
19,62,82,5063
20,62,83,9409
21,62,84,5185
22,62,85,9805
23,62,86,5307
24,62,87,10209
25,62,88,5429
26,62,89,10621
27,62,90,5551
28,62,91,11041
29,62,92,254013
30,62,93,11469
31,62,94,5795
32,62,95,11905
33,62,96,5917
34,62,97,12349
35,62,98,6039
36,62,99,12801
37,62,100,6161
38,63,2,126
39,63,3,inf
40,63,4,252
41,63,5,630
42,63,6,inf
43,63,7,378
44,63,8,504
45,63,9,504
46,63,10,4536
47,63,11,1449
48,63,12,945
49,63,13,1134
50,63,14,1008
51,63,15,1512
52,63,16,1764
53,63,17,2394
54,63,18,1386
55,63,19,3969
56,63,20,8001
57,63,21,inf
58,63,22,10584
59,63,23,1764
60,63,24,2016
61,63,25,1890
62,63,26,5670
63,63,27,4536
64,63,28,3276
65,63,29,2520
66,63,30,2079
67,63,31,3780
68,63,32,2646
69,63,33,2898
70,63,34,7434
71,63,35,9954
72,63,36,4158
73,63,37,4158
74,63,38,4347
75,63,39,3339
76,63,40,9702
77,63,41,33642
78,63,42,inf
79,63,43,3591
80,63,44,15876
81,63,45,5229
82,63,46,3276
83,63,47,5796
84,63,48,14301
85,63,49,6489
86,63,50,6111
87,63,51,5607
88,63,52,5292
89,63,53,23058
90,63,54,4284
91,63,55,18648
92,63,56,7749
93,63,57,8001
94,63,58,5544
95,63,59,8820
96,63,60,7686
97,63,61,3969
98,63,62,238266
99,63,63,3968
100,63,64,4030
101,63,65,9770
102,63,66,4154
103,63,67,4216
104,63,68,10628
105,63,69,29126
106,63,70,4402
107,63,71,40760
108,63,72,4526
109,63,73,4588
110,63,74,12452
111,63,75,4712
112,63,76,35272
113,63,77,13418
114,63,78,4898
115,63,79,4960
116,63,80,51686
117,63,81,5084
118,63,82,5146
119,63,83,137948
120,63,84,5270
121,63,85,5332
122,63,86,16532
123,63,87,5456
124,63,88,5518
125,63,89,63908
126,63,90,49328
127,63,91,5704
128,63,92,18788
129,63,93,5828
130,63,94,5890
131,63,95,19970
132,63,96,6014
133,63,97,57238
134,63,98,77426
135,63,99,6200
136,63,100,6262
137,64,2,inf
138,64,3,192
139,64,4,inf
140,64,5,512
141,64,6,512
142,64,7,768
143,64,8,inf
144,64,9,1344
145,64,10,1280
146,64,11,1472
147,64,12,inf
