,A,B,max_Delay
0,72,73,7919
1,72,74,12677
2,72,75,18167
3,72,76,5467
4,72,77,30503
5,72,78,5609
6,72,79,44327
7,72,80,51767
8,72,81,9431
9,72,82,5893
10,72,83,76199
11,72,84,6035
12,72,85,10235
13,72,86,16793
14,72,87,53687
15,72,88,6319
16,72,89,134927
17,72,90,6461
18,72,91,26407
19,72,92,19067
20,72,93,11939
21,72,94,6745
22,72,95,207767
23,72,96,6887
24,72,97,12839
25,72,98,77525
26,72,99,31103
27,72,100,7171
28,73,2,146
29,73,3,219
30,73,4,438
31,73,5,876
32,73,6,438
33,73,7,1022
34,73,8,4088
35,73,9,949
36,73,10,2628
37,73,11,2044
38,73,12,1314
39,73,13,1898
40,73,14,1314
41,73,15,1679
42,73,16,1241
43,73,17,1679
44,73,18,3358
45,73,19,1752
46,73,20,3358
47,73,21,2044
48,73,22,13432
49,73,23,1971
50,73,24,3358
51,73,25,4015
52,73,26,16206
53,73,27,3796
54,73,28,2628
55,73,29,4672
56,73,30,3869
57,73,31,3066
58,73,32,4453
59,73,33,4453
60,73,34,7738
61,73,35,2774
62,73,36,5110
63,73,37,4453
64,73,38,3869
65,73,39,10293
66,73,40,4891
67,73,41,11315
68,73,42,6424
69,73,43,5694
70,73,44,4745
71,73,45,28324
72,73,46,4818
73,73,47,12556
74,73,48,6643
75,73,49,9782
76,73,50,4672
77,73,51,4453
78,73,52,4964
79,73,53,33580
80,73,54,7300
81,73,55,11242
82,73,56,7738
83,73,57,8687
84,73,58,12556
85,73,59,12410
86,73,60,7738
87,73,61,6935
88,73,62,7300
89,73,63,16060
90,73,64,36792
91,73,65,7519
92,73,66,17082
93,73,67,10877
94,73,68,12556
95,73,69,11899
96,73,70,10366
97,73,71,5329
98,73,72,373176
99,73,73,5328
100,73,74,5400
101,73,75,5472
102,73,76,5544
103,73,77,5616
104,73,78,5688
105,73,79,5760
106,73,80,5832
107,73,81,5904
108,73,82,5976
109,73,83,6048
110,73,84,6120
111,73,85,6192
112,73,86,6264
113,73,87,6336
114,73,88,6408
115,73,89,6480
116,73,90,6552
117,73,91,6624
118,73,92,6696
119,73,93,6768
120,73,94,6840
121,73,95,6912
122,73,96,6984
123,73,97,7056
124,73,98,7128
125,73,99,7200
126,73,100,7272
127,74,2,74
128,74,3,296
129,74,4,444
130,74,5,370
131,74,6,444
132,74,7,1036
133,74,8,740
134,74,9,888
135,74,10,2738
136,74,11,1184
137,74,12,1628
138,74,13,3108
139,74,14,2294
140,74,15,2738
141,74,16,7844
142,74,17,2220
143,74,18,1850
144,74,19,2072
145,74,20,2368
146,74,21,3256
147,74,22,3774
148,74,23,5624
149,74,24,3256
150,74,25,3182
151,74,26,8066
152,74,27,2590
153,74,28,2220
154,74,29,2960
155,74,30,19758
156,74,31,3034
157,74,32,5772
158,74,33,4588
159,74,34,5180
160,74,35,4070
161,74,36,46620
162,74,37,2664
163,74,38,3478
164,74,39,3848
165,74,40,4070
166,74,41,3330
167,74,42,28194
168,74,43,3404
169,74,44,6364
170,74,45,3700
171,74,46,4440
172,74,47,4440
173,74,48,3848
174,74,49,5328
175,74,50,8140
176,74,51,5180
177,74,52,6660
178,74,53,5328
179,74,54,10434
180,74,55,5920
181,74,56,9620
182,74,57,7178
183,74,58,4884
184,74,59,7548
185,74,60,32264
186,74,61,6438
187,74,62,7992
188,74,63,7992
189,74,64,9028
190,74,65,6660
191,74,66,11988
192,74,67,9176
193,74,68,7104
194,74,69,9028
195,74,70,8732
196,74,71,7992
197,74,72,5476
198,74,73,388944
199,74,74,5475
200,74,75,8361
201,74,76,5621
202,74,77,8737
203,74,78,5767
204,74,79,9121
205,74,80,5913
206,74,81,9513
207,74,82,6059
208,74,83,9913
209,74,84,6205
210,74,85,10321
211,74,86,6351
212,74,87,10737
213,74,88,6497
214,74,89,11161
