,A,B,max_Delay
0,42,43,2729
1,42,44,4457
2,42,45,2945
3,42,46,1927
4,42,47,11333
5,42,48,14069
6,42,49,3401
7,42,50,5663
8,42,51,3641
9,42,52,2173
10,42,53,14369
11,42,54,2255
12,42,55,39437
13,42,56,7013
14,42,57,4409
15,42,58,2419
16,42,59,17765
17,42,60,2501
18,42,61,4961
19,42,62,76943
20,42,63,5249
21,42,64,2665
22,42,65,21521
23,42,66,2747
24,42,67,5849
25,42,68,10145
26,42,69,62033
27,42,70,2911
28,42,71,25637
29,42,72,2993
30,42,73,6809
31,42,74,11927
32,42,75,7145
33,42,76,35041
34,42,77,30113
35,42,78,3239
36,42,79,7841
37,42,80,13853
38,42,81,8201
39,42,82,3403
40,42,83,282449
41,42,84,3485
42,42,85,8945
43,42,86,15923
44,42,87,9329
45,42,88,3649
46,42,89,40145
47,42,90,49055
48,42,91,10121
49,42,92,18137
50,42,93,10529
51,42,94,3895
52,42,95,45701
53,42,96,3977
54,42,97,122513
55,42,98,20495
56,42,99,11801
57,42,100,4141
58,43,2,86
59,43,3,172
60,43,4,516
61,43,5,301
62,43,6,1290
63,43,7,430
64,43,8,387
65,43,9,2064
66,43,10,602
67,43,11,817
68,43,12,2838
69,43,13,774
70,43,14,1118
71,43,15,1419
72,43,16,1032
73,43,17,860
74,43,18,1634
75,43,19,3526
76,43,20,989
77,43,21,1720
78,43,22,1548
79,43,23,1376
80,43,24,1935
81,43,25,1806
82,43,26,1634
83,43,27,5676
84,43,28,2193
85,43,29,1849
86,43,30,2967
87,43,31,1591
88,43,32,2236
89,43,33,3870
90,43,34,4300
91,43,35,3741
92,43,36,9030
93,43,37,3569
94,43,38,2494
95,43,39,3999
96,43,40,3526
97,43,41,1849
98,43,42,74046
99,43,43,1848
100,43,44,1890
101,43,45,1932
102,43,46,1974
103,43,47,2016
104,43,48,2058
105,43,49,2100
106,43,50,2142
107,43,51,2184
108,43,52,2226
109,43,53,2268
110,43,54,2310
111,43,55,2352
112,43,56,2394
113,43,57,2436
114,43,58,2478
115,43,59,2520
116,43,60,2562
117,43,61,2604
118,43,62,2646
119,43,63,2688
120,43,64,2730
121,43,65,2772
122,43,66,2814
123,43,67,2856
124,43,68,2898
125,43,69,2940
126,43,70,2982
127,43,71,3024
