,A,B,max_Delay
0,32,33,1599
1,32,34,1085
2,32,35,3927
3,32,36,1147
4,32,37,1939
5,32,38,1209
6,32,39,10767
7,32,40,1271
8,32,41,2311
9,32,42,1333
10,32,43,5855
11,32,44,1395
12,32,45,2715
13,32,46,1457
14,32,47,33183
15,32,48,1519
16,32,49,3151
17,32,50,1581
18,32,51,8167
19,32,52,1643
20,32,53,3619
21,32,54,1705
22,32,55,21343
23,32,56,1767
24,32,57,4119
25,32,58,1829
26,32,59,10863
27,32,60,1891
28,32,61,4651
29,32,62,1953
30,32,63,123039
31,32,64,2015
32,32,65,5215
33,32,66,2077
34,32,67,13943
35,32,68,2139
36,32,69,5811
37,32,70,2201
38,32,71,35503
39,32,72,2263
40,32,73,6439
41,32,74,2325
42,32,75,17407
43,32,76,2387
44,32,77,7099
45,32,78,2449
46,32,79,93695
47,32,80,2511
48,32,81,7791
49,32,82,2573
50,32,83,21255
51,32,84,2635
52,32,85,8515
53,32,86,2697
54,32,87,53247
55,32,88,2759
56,32,89,9271
57,32,90,2821
58,32,91,25487
59,32,92,2883
60,32,93,10059
61,32,94,2945
62,32,95,279775
63,32,96,3007
64,32,97,10879
65,32,98,3069
66,32,99,30103
67,32,100,3131
68,33,2,66
69,33,3,66
70,33,4,132
71,33,5,198
72,33,6,198
73,33,7,693
74,33,8,396
75,33,9,594
76,33,10,990
77,33,11,330
78,33,12,726
79,33,13,924
80,33,14,660
81,33,15,594
82,33,16,990
83,33,17,726
84,33,18,825
85,33,19,990
86,33,20,1188
87,33,21,4422
88,33,22,1188
89,33,23,1386
90,33,24,1320
91,33,25,2310
92,33,26,1617
93,33,27,2013
94,33,28,3828
95,33,29,1980
96,33,30,2046
97,33,31,1089
98,33,32,32736
99,33,33,1088
100,33,34,1120
101,33,35,2810
102,33,36,1184
103,33,37,1216
104,33,38,3278
105,33,39,1280
106,33,40,1312
107,33,41,3782
108,33,42,1376
109,33,43,18578
110,33,44,4322
111,33,45,1472
112,33,46,1504
113,33,47,4898
114,33,48,1568
115,33,49,1600
116,33,50,5510
117,33,51,1664
118,33,52,1696
119,33,53,6158
120,33,54,29270
121,33,55,1792
122,33,56,6842
123,33,57,1856
124,33,58,1888
125,33,59,7562
126,33,60,1952
127,33,61,1984
128,33,62,8318
129,33,63,2048
130,33,64,2080
131,33,65,135200
132,33,66,2144
133,33,67,2176
134,33,68,9938
135,33,69,2240
136,33,70,2272
137,33,71,10802
138,33,72,2336
139,33,73,2368
140,33,74,11702
141,33,75,2432
142,33,76,57914
143,33,77,12638
144,33,78,2528
145,33,79,2560
146,33,80,13610
147,33,81,2624
148,33,82,2656
149,33,83,14618
150,33,84,2720
151,33,85,2752
152,33,86,15662
153,33,87,75866
154,33,88,2848
155,33,89,16742
156,33,90,2912
157,33,91,2944
158,33,92,17858
159,33,93,3008
160,33,94,3040
161,33,95,19010
162,33,96,3104
163,33,97,3136
164,33,98,307328
165,33,99,3200
166,33,100,3232
167,34,2,34
168,34,3,136
169,34,4,136
170,34,5,204
171,34,6,204
172,34,7,408
173,34,8,340
174,34,9,442
175,34,10,510
176,34,11,510
177,34,12,1564
178,34,13,544
179,34,14,1292
180,34,15,850
181,34,16,4080
182,34,17,544
183,34,18,748
184,34,19,748
185,34,20,2788
186,34,21,782
187,34,22,1326
188,34,23,952
189,34,24,2720
190,34,25,1190
191,34,26,1156
192,34,27,1564
193,34,28,1360
194,34,29,1768
195,34,30,2448
196,34,31,1632
197,34,32,1156
198,34,33,35904
199,34,34,1155
200,34,35,1801
201,34,36,1221
202,34,37,1977
203,34,38,1287
204,34,39,2161
205,34,40,1353
206,34,41,2353
207,34,42,1419
208,34,43,2553
209,34,44,1485
210,34,45,2761
211,34,46,1551
212,34,47,2977
213,34,48,1617
214,34,49,3201
215,34,50,40051
216,34,51,3433
217,34,52,1749
218,34,53,3673
219,34,54,1815
220,34,55,3921
221,34,56,1881
222,34,57,4177
223,34,58,1947
224,34,59,4441
225,34,60,2013
226,34,61,4713
227,34,62,2079
228,34,63,4993
229,34,64,2145
230,34,65,5281
231,34,66,2211
232,34,67,148137
233,34,68,2277
234,34,69,5881
235,34,70,2343
236,34,71,6193
237,34,72,2409
238,34,73,6513
