,A,B,max_Delay
0,22,23,769
1,22,24,525
2,22,25,885
3,22,26,567
4,22,27,1009
5,22,28,609
6,22,29,1141
7,22,30,651
8,22,31,1281
9,22,32,10273
10,22,33,1429
11,22,34,735
12,22,35,1585
13,22,36,777
14,22,37,1749
15,22,38,819
16,22,39,1921
17,22,40,861
18,22,41,2101
19,22,42,903
20,22,43,38829
21,22,44,945
22,22,45,2485
23,22,46,987
24,22,47,2689
25,22,48,1029
26,22,49,2901
27,22,50,1071
28,22,51,3121
29,22,52,1113
30,22,53,3349
31,22,54,29215
32,22,55,3585
33,22,56,1197
34,22,57,3829
35,22,58,1239
36,22,59,4081
37,22,60,1281
38,22,61,4341
39,22,62,1323
40,22,63,4609
41,22,64,1365
42,22,65,88725
43,22,66,1407
44,22,67,5169
45,22,68,1449
46,22,69,5461
47,22,70,1491
48,22,71,5761
49,22,72,1533
50,22,73,6069
51,22,74,1575
52,22,75,6385
53,22,76,57837
54,22,77,6709
55,22,78,1659
56,22,79,7041
57,22,80,1701
58,22,81,7381
59,22,82,1743
60,22,83,7729
61,22,84,1785
62,22,85,8085
63,22,86,1827
64,22,87,158949
65,22,88,1869
66,22,89,8821
67,22,90,1911
68,22,91,9201
69,22,92,1953
70,22,93,9589
71,22,94,1995
72,22,95,9985
73,22,96,2037
74,22,97,10389
75,22,98,96139
76,22,99,10801
77,22,100,2121
78,23,2,46
79,23,3,138
80,23,4,138
81,23,5,276
82,23,6,230
83,23,7,230
84,23,8,598
85,23,9,230
86,23,10,299
87,23,11,460
88,23,12,644
89,23,13,414
90,23,14,414
91,23,15,828
92,23,16,506
93,23,17,1403
94,23,18,644
95,23,19,759
96,23,20,966
97,23,21,529
98,23,22,10626
99,23,23,528
100,23,24,550
101,23,25,572
102,23,26,594
103,23,27,616
104,23,28,638
105,23,29,660
106,23,30,682
107,23,31,704
108,23,32,726
109,23,33,748
110,23,34,770
111,23,35,792
112,23,36,814
113,23,37,836
114,23,38,858
115,23,39,880
116,23,40,902
117,23,41,924
118,23,42,946
119,23,43,968
120,23,44,990
121,23,45,44550
122,23,46,1034
123,23,47,1056
124,23,48,1078
125,23,49,1100
126,23,50,1122
127,23,51,1144
128,23,52,1166
129,23,53,1188
130,23,54,1210
131,23,55,1232
132,23,56,1254
