,A,B,max_Delay
0,52,53,4159
1,52,54,2805
2,52,55,9747
3,52,56,2907
4,52,57,4699
5,52,58,3009
6,52,59,11163
7,52,60,3111
8,52,61,5271
9,52,62,3213
10,52,63,12675
11,52,64,49347
12,52,65,5875
13,52,66,3417
14,52,67,14283
15,52,68,3519
16,52,69,6511
17,52,70,3621
18,52,71,15987
19,52,72,3723
20,52,73,7179
21,52,74,3825
22,52,75,17787
23,52,76,3927
24,52,77,148303
25,52,78,4029
26,52,79,19683
27,52,80,4131
28,52,81,8611
29,52,82,4233
30,52,83,21675
31,52,84,4335
32,52,85,9375
33,52,86,4437
34,52,87,23763
35,52,88,4539
36,52,89,10171
37,52,90,97473
38,52,91,25947
39,52,92,4743
40,52,93,10999
41,52,94,4845
42,52,95,28227
43,52,96,4947
44,52,97,11859
45,52,98,5049
46,52,99,30603
47,52,100,5151
48,53,2,106
49,53,3,159
50,53,4,636
51,53,5,848
52,53,6,530
53,53,7,1908
54,53,8,1484
55,53,9,636
56,53,10,636
57,53,11,1060
58,53,12,1007
59,53,13,848
60,53,14,1590
61,53,15,1378
62,53,16,954
63,53,17,1590
64,53,18,1643
65,53,19,5724
66,53,20,1484
67,53,21,2438
68,53,22,7738
69,53,23,2279
70,53,24,2226
71,53,25,1484
72,53,26,2650
73,53,27,3339
74,53,28,2067
75,53,29,10070
76,53,30,2120
77,53,31,2862
78,53,32,2226
79,53,33,3180
80,53,34,2014
81,53,35,4558
82,53,36,2650
83,53,37,3180
84,53,38,3498
85,53,39,3710
86,53,40,5936
87,53,41,5830
88,53,42,3604
89,53,43,2809
90,53,44,4134
91,53,45,7632
92,53,46,3286
93,53,47,5565
94,53,48,6466
95,53,49,4399
96,53,50,5406
97,53,51,2809
98,53,52,140556
99,53,53,2808
100,53,54,2860
101,53,55,2912
102,53,56,2964
103,53,57,3016
104,53,58,3068
105,53,59,3120
106,53,60,3172
107,53,61,3224
108,53,62,3276
109,53,63,3328
110,53,64,3380
111,53,65,3432
112,53,66,3484
113,53,67,3536
114,53,68,3588
115,53,69,3640
116,53,70,3692
117,53,71,3744
118,53,72,3796
119,53,73,3848
120,53,74,3900
121,53,75,3952
122,53,76,4004
123,53,77,4056
124,53,78,4108
125,53,79,4160
126,53,80,4212
127,53,81,4264
128,53,82,4316
129,53,83,4368
130,53,84,4420
131,53,85,4472
132,53,86,4524
133,53,87,4576
134,53,88,4628
135,53,89,4680
136,53,90,4732
137,53,91,4784
138,53,92,4836
139,53,93,4888
140,53,94,4940
141,53,95,4992
142,53,96,5044
143,53,97,5096
144,53,98,5148
145,53,99,5200
146,53,100,5252
147,54,2,54
148,54,3,inf
149,54,4,324
150,54,5,378
151,54,6,inf
152,54,7,648
153,54,8,540
154,54,9,inf
155,54,10,1134
156,54,11,648
157,54,12,inf
158,54,13,5184
159,54,14,972
160,54,15,1296
161,54,16,2592
162,54,17,4914
163,54,18,inf
164,54,19,6804
165,54,20,1188
166,54,21,1512
167,54,22,1836
168,54,23,2808
169,54,24,1674
170,54,25,2160
171,54,26,17550
172,54,27,1404
173,54,28,2646
174,54,29,4482
175,54,30,2646
176,54,31,1836
177,54,32,2754
178,54,33,2430
179,54,34,5832
180,54,35,20844
181,54,36,inf
182,54,37,2646
183,54,38,3888
184,54,39,3348
185,54,40,4212
186,54,41,8856
187,54,42,2700
188,54,43,3996
189,54,44,15660
190,54,45,3996
191,54,46,5400
192,54,47,11664
193,54,48,3672
194,54,49,4698
195,54,50,6426
196,54,51,4212
197,54,52,2916
198,54,53,148824
199,54,54,2915
200,54,55,4481
201,54,56,7241
202,54,57,4757
203,54,58,3127
204,54,59,17885
205,54,60,3233
206,54,61,5333
207,54,62,31067
208,54,63,5633
209,54,64,3445
210,54,65,21653
211,54,66,3551
212,54,67,6257
213,54,68,10421
214,54,69,6581
215,54,70,3763
216,54,71,85841
217,54,72,3869
218,54,73,7253
219,54,74,12227
220,54,75,7601
221,54,76,4081
222,54,77,30269
223,54,78,4187
224,54,79,8321
225,54,80,166481
226,54,81,8693
227,54,82,4399
228,54,83,35117
229,54,84,4505
230,54,85,9461
231,54,86,16271
232,54,87,9857
233,54,88,4717
234,54,89,134837
235,54,90,4823
236,54,91,10673
237,54,92,18509
238,54,93,11093
239,54,94,5035
240,54,95,45893
241,54,96,5141
242,54,97,11957
243,54,98,77327
244,54,99,12401
245,54,100,5353
246,55,2,110
247,55,3,165
248,55,4,330
249,55,5,220
250,55,6,550
251,55,7,550
