,A,B,max_Delay
312,96,9,2112
313,96,10,1248
314,96,11,1344
315,96,12,inf
316,96,13,2496
317,96,14,1728
318,96,15,3360
319,96,16,inf
320,96,17,1728
321,96,18,2496
322,96,19,3072
323,96,20,2304
324,96,21,2880
325,96,22,9216
326,96,23,12192
327,96,24,inf
328,96,25,4800
329,96,26,6528
330,96,27,3072
331,96,28,4608
332,96,29,4800
333,96,30,4032
334,96,31,29760
335,96,32,2976
336,96,33,3648
337,96,34,7296
338,96,35,13632
339,96,36,inf
340,96,37,5760
341,96,38,4704
342,96,39,11232
343,96,40,4704
344,96,41,9024
345,96,42,11520
346,96,43,6816
347,96,44,6432
348,96,45,8832
349,96,46,27648
350,96,47,103776
351,96,48,inf
352,96,49,5856
353,96,50,7200
354,96,51,9216
355,96,52,9024
356,96,53,14976
357,96,54,9312
358,96,55,21696
359,96,56,9312
360,96,57,7968
361,96,58,7104
362,96,59,38976
363,96,60,7104
364,96,61,6912
365,96,62,10176
366,96,63,123072
367,96,64,10176
368,96,65,22944
369,96,66,20544
370,96,67,15072
371,96,68,12672
372,96,69,9216
373,96,70,34560
374,96,71,116064
375,96,72,inf
376,96,73,9600
377,96,74,13632
378,96,75,18528
379,96,76,13536
380,96,77,30720
381,96,78,10176
382,96,79,94080
383,96,80,16512
384,96,81,12288
385,96,82,14016
386,96,83,76608
387,96,84,14016
388,96,85,14784
389,96,86,17568
390,96,87,53856
391,96,88,18240
392,96,89,41760
393,96,90,22656
394,96,91,28704
395,96,92,20832
396,96,93,13536
397,96,94,9216
398,96,95,857280
399,96,96,9215
400,96,97,14015
401,96,98,22277
402,96,99,31703
403,96,100,9595
404,97,2,194
405,97,3,388
406,97,4,388
407,97,5,1552
408,97,6,1358
409,97,7,679
410,97,8,1164
411,97,9,1067
412,97,10,1358
413,97,11,5335
414,97,12,1552
415,97,13,3298
416,97,14,2134
417,97,15,2619
418,97,16,1746
419,97,17,2522
420,97,18,4268
421,97,19,4074
422,97,20,2619
423,97,21,16684
424,97,22,2231
425,97,23,2813
426,97,24,6014
427,97,25,3783
428,97,26,4365
429,97,27,3492
430,97,28,4462
431,97,29,4559
432,97,30,16878
433,97,31,3395
434,97,32,6014
435,97,33,8342
436,97,34,24250
437,97,35,75854
438,97,36,6790
439,97,37,6596
440,97,38,6499
441,97,39,8148
442,97,40,10282
443,97,41,12804
444,97,42,5238
445,97,43,5626
446,97,44,10573
447,97,45,6208
448,97,46,13774
449,97,47,4850
450,97,48,9118
451,97,49,7857
452,97,50,7760
453,97,51,9215
454,97,52,8439
455,97,53,8924
456,97,54,12998
457,97,55,10379
458,97,56,8342
459,97,57,6111
460,97,58,9700
461,97,59,9506
462,97,60,46948
463,97,61,133860
464,97,62,8536
465,97,63,18915
466,97,64,11931
467,97,65,17266
468,97,66,24832
469,97,67,11058
470,97,68,17363
471,97,69,9215
472,97,70,22698
473,97,71,44911
474,97,72,13192
475,97,73,12707
476,97,74,65766
477,97,75,12901
478,97,76,12610
479,97,77,14647
480,97,78,11834
481,97,79,14065
482,97,80,14162
483,97,81,9991
484,97,82,9118
485,97,83,10573
486,97,84,21922
487,97,85,17363
488,97,86,20176
489,97,87,17945
490,97,88,53932
491,97,89,11155
492,97,90,23474
493,97,91,16005
494,97,92,22504
495,97,93,21243
496,97,94,18430
497,97,95,9409
498,97,96,884640
499,97,97,9408
500,97,98,9504
501,97,99,9600
502,97,100,9696
503,98,2,98
504,98,3,294
505,98,4,392
506,98,5,1176
507,98,6,686
508,98,7,inf
509,98,8,980
510,98,9,2058
511,98,10,980
512,98,11,1960
513,98,12,3136
514,98,13,2254
515,98,14,inf
516,98,15,2940
517,98,16,2940
518,98,17,3822
519,98,18,10290
520,98,19,3332
521,98,20,2744
522,98,21,inf
523,98,22,9996
524,98,23,3822
525,98,24,3332
526,98,25,3626
527,98,26,12152
528,98,27,9604
529,98,28,inf
530,98,29,7742
531,98,30,17934
532,98,31,8134
533,98,32,5880
534,98,33,5586
535,98,34,7644
536,98,35,inf
537,98,36,9604
538,98,37,11956
539,98,38,4312
540,98,39,10388
541,98,40,24108
542,98,41,22050
543,98,42,inf
544,98,43,8134
545,98,44,20972
546,98,45,8232
547,98,46,9212
548,98,47,7154
549,98,48,110544
550,98,49,4704
551,98,50,6076
552,98,51,6664
553,98,52,14112
554,98,53,6762
555,98,54,32144
556,98,55,39788
557,98,56,inf
558,98,57,7154
559,98,58,10584
560,98,59,7644
561,98,60,31752
562,98,61,7840
563,98,62,23912
564,98,63,7840
565,98,64,6664
566,98,65,9408
567,98,66,9016
568,98,67,9016
569,98,68,37240
570,98,69,62426
571,98,70,inf
572,98,71,9408
573,98,72,18228
574,98,73,10486
575,98,74,16856
576,98,75,11760
577,98,76,35868
578,98,77,11760
579,98,78,12544
580,98,79,12544
581,98,80,44296
